Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
"What is the entry point in a C# console program?","Main","Start","Run","Init",1
"Which type prints to the console?","System.IO.File","System.Console","System.Text.StringBuilder","",2
"What does 'using System;' do?","Imports the System namespace","Creates a new system","Deletes system files","Starts the system",1
"Which method prints without adding a new line?","Console.WriteLine","Console.Write","Console.Print","Console.Display",2
"What does 'static' mean in 'static void Main'?","The method never changes","The method belongs to the class, not an instance","The method runs slowly","The method is private",2
"What does 'void' mean in method declaration?","The method is empty","The method returns nothing","The method is invalid","The method accepts no parameters",2
"Which symbol terminates a C# statement?",".",":",";",",",3
"What file extension do C# source files have?",".c",".cs",".csharp",".net",2
"What happens when you run a console application?","Main method is called","Constructor is called","Static block runs","Nothing happens",1
"Which namespace contains the Console class?","System.IO","System","Microsoft.Console","System.Console",2
"Which type stores the most precise decimal values?","float","double","decimal","int",3
"What happens when you assign one value type to another?","Both variables point to same memory","Data is copied","Reference is shared","Nothing happens",2
"Which is a reference type?","int","bool","string","char",3
"What is the size of an int in C#?","16 bits","32 bits","64 bits","128 bits",2
"Which can store a single character?","string","char","int","bool",2
"What is boxing in C#?","Converting reference to value type","Converting value type to object","Creating arrays","Memory allocation",2
"Which type should you use for currency calculations?","float","double","decimal","int",3
"Can value types be null by default?","Yes","No","Only int","Only bool",2
"What happens when you modify a string in C#?","Original string changes","New string object is created","Compilation error","Runtime exception",2
"What is 5/2 with int operands?","2","2.5","3","",1
"What does 'var x = 10;' create?","A variable of type var","An int variable","A dynamic variable","A string variable",2
"What is the result of 10 % 3?","1","3","0","10",1
"Which operator has the highest precedence?","+","*","()","==",3
"What is the difference between ++x and x++?","No difference","++x increments before returning, x++ increments after","++x is faster","x++ is deprecated",2
"What does x += 5 do?","Assigns 5 to x","Adds 5 to x","Compares x with 5","Multiplies x by 5",2
"Which logical operator means 'AND'?","&","&&","||","!",2
"What is the result of (true && false) || true?","true","false","null","compilation error",1
"Which is a valid variable name in C#?","2variable","_myVar","class","my-var",2
"What happens if you use var without initialization?","Creates null variable","Creates default value","Compilation error","Runtime error",3
"Which is boxing?","int i = 1; object o = i;","object o = ""x""; string s = (string)o;","","",1
"What happens with: double d = 3.7; int i = (int)d;?","i = 4","i = 3","i = 3.7","Compilation error",2
"Which conversion is implicit?","double to int","int to double","string to int","long to int",2
"What's the safest way to convert string to int?","int.Parse()","(int)string","Convert.ToInt32()","int.TryParse()",4
"What does unboxing require?","Implicit casting","Explicit casting","No casting","Generic casting",2
"Can nullable types be assigned null?","Yes","No","Only int?","Only reference types",1
"What is the result of: char c = 'A'; int i = c;?","Compilation error","i = 65","i = 0","i = 1",2
"Which has performance overhead?","Implicit conversion","Explicit conversion","Boxing/Unboxing","TryParse",3
"What happens if you unbox to wrong type?","Compilation error","Runtime exception","Returns null","Returns default value",2
"What does int? mean?","Nullable int","Array of int","Pointer to int","Optional parameter",1
"What is the primary purpose of namespaces in C#?","To improve performance","To provide security","To organize code and prevent naming conflicts","To enable inheritance",3
"Which of the following is a valid namespace declaration?","namespace MyApp { }","namespace MyApp.Models { }","namespace MyCompany.Project.Features { }","All of the above",4
"What does the 'using' directive do?","Declares a namespace","Imports a namespace for use","Creates an alias","Both B and C",4
"How do you access a class in the global namespace when there's a naming conflict?","global.ClassName","global::ClassName","::ClassName","root::ClassName",2
"What is the recommended maximum depth for namespace hierarchy?","2 levels","3 levels","2-4 levels","No limit",3
"Which statement about global using (C# 10+) is correct?","Only works in Program.cs","Applies to all files in the project","Must be declared in every file","Cannot be used with System namespaces",2
"What happens when you have two classes with the same name in different namespaces?","Compilation error","Runtime error","No conflict if properly qualified","The last one defined wins",3
"Which is the correct way to create a namespace alias?","alias WinForms = System.Windows.Forms;","using WinForms = System.Windows.Forms;","namespace WinForms = System.Windows.Forms;","import WinForms = System.Windows.Forms;",2
"What is the difference between namespaces and assemblies?","They are the same thing","Namespaces are logical, assemblies are physical","Assemblies are logical, namespaces are physical","Namespaces contain assemblies",2
"Best practice for ordering using statements:","Alphabetical order only","System first, then third-party, then custom","Custom first, then third-party, then System","Random order is fine",2
"Which is a valid switch expression arm?","case 1:","1 => ""one""","1: ""one""","case 1 => ""one""",2
"What is the discard pattern in switch expressions?","default","_","other","else",2
"Which logical operator performs short-circuit evaluation?","&","&&","|","All of the above",2
"What is the ternary operator syntax?","condition ? true : false","if condition then true else false","condition ?? true : false","condition -> true : false",1
"In pattern matching, what does 'when' keyword do?","Declares a variable","Adds a guard condition","Creates a new pattern","Defines a method",2
"What happens if you forget 'break' in a switch statement case?","Compilation error","Runtime error","Fall-through to next case","Nothing",3
"Which is better for checking multiple discrete values?","Multiple if-else statements","Switch statement/expression","Nested ternary operators","Goto statements",2
"How do you check for null in a pattern matching expression?","null =>","== null =>","is null =>","Both A and C",4
"What does the && operator do if the first condition is false?","Evaluates the second condition","Skips the second condition","Throws an exception","Returns null",2
"Which syntax represents a property pattern in switch expressions?","{ Age: 18 }","Age == 18","prop.Age: 18","Age: 18",1
"Which loop guarantees at least one iteration?","for","while","do-while","foreach",3
"What is the correct for loop syntax?","for (int i = 0; i < 10; i++)","for (i = 0; i < 10; i++)","for int i = 0; i < 10; i++","for (int i = 0, i < 10, i++)",1
"What does the 'break' statement do in a loop?","Skips current iteration","Exits the loop completely","Pauses the loop","Restarts the loop",2
