Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
"What is visual programming?","Programming with colors","Programming paradigm using graphical elements instead of text","Programming for visually impaired","Programming graphics only",2
"Which is an advantage of visual programming for beginners?","Better performance","Easier learning curve","More flexibility","Faster execution",2
"What is a limitation of visual programming compared to text-based programming?","Slower development","Limited by available components","No debugging support","Cannot create applications",2
"Which tool is an example of visual programming in .NET?","Command line compiler","Visual Studio Designer","Text editor","Database manager",2
"What is XAML Designer used for?","Database design","WPF and UWP application UI design","Web page creation","API development",2
"In visual programming, how do you typically create UI elements?","Writing code manually","Drag-and-drop from toolbox","Using command line","Drawing by hand",2
"What type of debugging is typically available in visual programming environments?","Command line debugging only","Visual debugging tools","No debugging","Text-only debugging",2
"Which programming approach gives you more direct control over performance?","Visual programming","Text-based programming","Both are equal","Neither",2
"What is generated when you use visual designers?","Images only","Code that implements the visual design","Documentation","Database schemas",2
"Can visual programming completely replace text-based programming?","Yes, always","No, both have their place","Only for web development","Only for desktop applications",2
"What is the main interface difference between visual and text-based programming?","No difference","Visual uses drag-and-drop, text uses code writing","Visual is faster","Text is more colorful",2
"Which type of application is Blazor Visual Designer used for?","Desktop applications","Web components","Mobile applications","Database applications",2
"What is the flexibility trade-off in visual programming?","More flexible than text","Limited by available components","Equal flexibility","No flexibility",2
"In WinForms designer, what happens when you drag a button onto a form?","Nothing happens","Code is automatically generated","Application crashes","Form is deleted",2
"What is the relationship between visual designers and generated code?","No relationship","Designer creates code automatically","Code creates designer","They are separate",2
"What is event-driven programming?","Programming only for events","Paradigm where program flow is determined by events","Programming without events","Database programming",2
"What are events in event-driven programming?","Functions only","Notifications that something has happened","Variables only","Classes only",2
"What is an event handler?","Database connection","Method that responds to events","Variable storage","User interface",2
"What is the event loop responsible for?","Creating events","Continuously monitoring for events","Deleting events","Storing events",2
"What are delegates in C# event-driven programming?","Database objects","Type-safe function pointers","UI elements","Network connections",2
"How do you subscribe to a button click event in C#?","button.OnClick","button.Click += EventHandler","button.Press","button.Select",2
