Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
"What is the main difference between 'for loop' and 'foreach loop' in C#?","for loop provides index access, foreach doesn't","foreach is faster than for loop","for loop only works with arrays","No difference",1
"Which loop is best for iterating through collections when you don't need the index?","for loop","foreach loop","while loop","do-while loop",2
"What happens if you modify a collection while using foreach?","Nothing happens","Performance improves","InvalidOperationException is thrown","Compilation error",3
"In a for loop, when is the increment statement executed?","Before each iteration","After each iteration","Only at the end","Before condition check",2
"Which loop guarantees at least one execution?","for loop","while loop","do-while loop","foreach loop",3
"What is the purpose of the 'break' statement in loops?","Skip current iteration","Exit the loop completely","Restart the loop","Pause the loop",2
"What does the 'continue' statement do in a loop?","Exit the loop","Skip remaining code in current iteration","Restart the loop","Create infinite loop",2
"Which is more efficient for accessing array elements by index?","foreach loop","for loop","while loop","No difference",2
"Can you use 'break' and 'continue' in foreach loops?","Only break","Only continue","Both break and continue","Neither",3
"What is the scope of the loop variable in a for loop?","Global","Class level","Method level","Limited to the for loop block",4
"What is an event in C#?","A method that returns void","A special kind of multicast delegate for notifications","A type of exception","A database connection",2
"What is a delegate in C#?","A variable","A type that represents references to methods","A class","An interface",2
"How do you subscribe to an event in C#?","Using = operator","Using += operator","Using == operator","Using -= operator",2
"How do you unsubscribe from an event in C#?","Using = operator","Using += operator","Using -= operator","Using != operator",3
"What is a multicast delegate?","A delegate that can hold single method reference","A delegate that can hold multiple method references","A delegate for casting","A delegate for multiplication",2
"Can events be accessed directly from outside the class?","Yes, always","No, they are encapsulated","Only if public","Only in same namespace",2
"What is the publisher-subscriber pattern?","Database pattern","Design pattern where publisher notifies subscribers of events","UI pattern","Security pattern",2
"What happens if you invoke a null delegate?","Nothing happens","NullReferenceException","Compilation error","Default value returned",2
"Which delegate is used for methods that return void?","Func","Action","Predicate","EventHandler",2
"Which delegate is used for methods that return a value?","Action","Func","EventHandler","MulticastDelegate",2
"Can you combine delegates using + operator?","No","Yes, creating multicast delegate","Only for events","Only for Action delegates",2
"What is the difference between delegates and events?","No difference","Events provide encapsulation and can only be triggered from within the class","Delegates are faster","Events are deprecated",2
"Can events have return values?","Yes, always","No, events return void","Only if using Func","Only for static events",2
"What is the EventHandler delegate used for?","Database events","Standard event handling with sender and EventArgs","File events","Network events",2
"Can you use lambda expressions with delegates?","No","Yes","Only with events","Only with Action",2
"Which namespace is required for ADO.NET database operations?","System.IO","System.Data","System.Net","System.Web",2
"What does ADO.NET stand for?","Active Data Objects .NET","Application Data Objects .NET","Advanced Data Objects .NET","Automated Data Objects .NET",1
"What is the difference between DataReader and DataSet?","No difference","DataReader is forward-only, DataSet loads all data in memory","DataSet is faster","DataReader loads all data",2
"Which is more efficient for reading large amounts of data?","DataSet","DataReader","DataTable","DataAdapter",2
"What is SqlConnection used for?","Execute commands","Establish connection to SQL Server","Read data","Update data",2
"What is SqlCommand used for?","Connect to database","Execute SQL statements","Read data only","Close connections",2
"Which method is used for SELECT statements?","ExecuteNonQuery","ExecuteReader","ExecuteScalar","ExecuteQuery",2
"Which method is used for INSERT, UPDATE, DELETE statements?","ExecuteReader","ExecuteNonQuery","ExecuteScalar","ExecuteQuery",2
"What does ExecuteScalar return?","DataReader","DataSet","Single value","Number of affected rows",3
"What is a connection string?","SQL query","Database schema","Configuration that specifies database connection details","Table name",3
"Why should you use parameterized queries?","Better performance","Prevent SQL injection attacks","Easier syntax","Faster execution",2
"What is Entity Framework?","UI framework","Object-Relational Mapping (ORM) framework","Web framework","Testing framework",2
"What is the purpose of using statement with database connections?","Better performance","Automatic resource cleanup","SQL injection prevention","Faster queries",2
"What is LINQ to SQL?","Language Integrated Query for SQL databases","Library for SQL","Language for SQL","Link to SQL",1
"What is the difference between connected and disconnected architecture?","No difference","Connected maintains connection, disconnected works with cached data","Connected is faster","Disconnected is deprecated",2
"What does LINQ stand for?","Language Integrated Query","Linear Query","Linked Query","Local Integrated Query",1
"What is deferred execution in LINQ?","Query executes immediately","Query execution is delayed until enumeration","Query never executes","Query executes in background",2
"Which LINQ operator is used for filtering?","Select","Where","OrderBy","GroupBy",2
"Which LINQ operator is used for projection?","Where","Select","OrderBy","GroupBy",2
"What is the difference between First() and FirstOrDefault()?","No difference","First() throws exception if no element, FirstOrDefault() returns default","FirstOrDefault() is faster","First() is deprecated",2
"Which LINQ operator is used for sorting?","Where","Select","OrderBy","GroupBy",3
"What does the Any() method return?","First element","Count of elements","Boolean indicating if any element matches","All elements",3
"What does the All() method check?","If any element matches condition","If all elements match condition","First element only","Last element only",2
"Which method forces immediate execution of LINQ query?","Where","Select","ToList()","OrderBy",3
"What is the purpose of GroupBy in LINQ?","Filter data","Sort data","Group elements by key","Select specific columns",3
"Can you use LINQ with databases?","No","Yes, with LINQ to SQL and Entity Framework","Only with SQL Server","Only with MySQL",2
"What is the difference between IEnumerable and IQueryable?","No difference","IQueryable is for database queries, IEnumerable is for in-memory","IEnumerable is faster","IQueryable is deprecated",2
"Which LINQ method joins two sequences?","Union","Join","Concat","Merge",2
"What does Skip() method do in LINQ?","Skip all elements","Skip specified number of elements","Skip last element","Skip duplicates",2
"What does Take() method do in LINQ?","Take all elements","Take specified number of elements","Take last element","Take duplicates",2
"What is the difference between value types and reference types?","No difference","Value types store data directly, reference types store references","Reference types are faster","Value types can be null",2
"Where are value types stored?","Heap","Stack","Database","Registry",2
"Where are reference types stored?","Stack","Heap","Database","Registry",2
"What happens when you assign one value type to another?","Both variables point to same memory","Data is copied","Reference is shared","Nothing happens",2
"What happens when you assign one reference type to another?","Data is copied","Reference is copied","New object is created","Nothing happens",2
"Which of these is a value type?","string","object","int","array",3
"Which of these is a reference type?","int","bool","string","char",3
"What is boxing in C#?","Converting reference to value type","Converting value type to object","Creating arrays","Memory allocation",2
"What is unboxing in C#?","Converting value type to object","Converting object back to value type","Creating objects","Memory deallocation",2
"Can value types be null by default?","Yes","No","Only int","Only bool",2
"What is a nullable value type?","Value type that can be null","Reference type","Array type","Object type",1
"How do you declare a nullable int?","int? x","nullable int x","int x = null","Nullable<int> x",1
"What is the default value of a reference type?","0","false","null","empty string",3
"What is the default value of an int?","null","0","1","-1",2
"Are strings mutable in C#?","Yes","No","Sometimes","Depends on length",2
"What are the different types of inheritance in C#?","Single, Multiple, Multilevel","Single, Multilevel, Hierarchical, Interface","Only Single","Single and Multiple only",2
